Period,Number,BigSmall,Color
20260527100010983,2,Small,Red
20260527100010982,2,Small,Red
20260527100010981,4,Small,Red
20260527100010980,7,Big,Green
20260527100010979,1,Small,Green
20260527100010978,1,Small,Green
20260527100010977,2,Small,Red
20260527100010976,6,Big,Red
20260527100010975,2,Small,Red
20260527100010974,8,Big,Red
20260527100010973,2,Small,Red
20260527100010972,6,Big,Red
20260527100010971,1,Small,Green
20260527100010970,9,Big,Green
20260527100010969,4,Small,Red
20260527100010968,5,Big,Green Violet
20260527100010967,8,Big,Red
20260527100010966,4,Small,Red
20260527100010965,7,Big,Green
20260527100010964,4,Small,Red
20260527100010963,0,Small,Red Violet
20260527100010962,8,Big,Red
20260527100010961,0,Small,Red Violet
20260527100010960,6,Big,Red
20260527100010959,7,Big,Green
20260527100010958,1,Small,Green
20260527100010957,6,Big,Red
20260527100010956,5,Big,Green Violet
20260527100010955,8,Big,Red
20260527100010954,9,Big,Green
20260527100010953,6,Big,Red
20260527100010952,9,Big,Green
20260527100010951,9,Big,Green
20260527100010950,8,Big,Red
20260527100010949,1,Small,Green
20260527100010948,3,Small,Green
20260527100010947,9,Big,Green
20260527100010946,0,Small,Red Violet
20260527100010945,9,Big,Green
20260527100010944,3,Small,Green
20260527100010943,1,Small,Green
20260527100010942,5,Big,Green Violet
20260527100010941,1,Small,Green
20260527100010940,4,Small,Red
20260527100010939,5,Big,Green Violet
20260527100010938,4,Small,Red
20260527100010937,4,Small,Red
20260527100010936,7,Big,Green
20260527100010935,8,Big,Red
20260527100010934,3,Small,Green
20260527100010933,8,Big,Red
20260527100010932,5,Big,Green Violet
20260527100010931,0,Small,Red Violet
20260527100010930,2,Small,Red
20260527100010929,8,Big,Red
20260527100010928,9,Big,Green
20260527100010927,4,Small,Red
20260527100010926,7,Big,Green
20260527100010925,3,Small,Green
20260527100010924,9,Big,Green
20260527100010923,2,Small,Red
20260527100010922,6,Big,Red
20260527100010921,5,Big,Green Violet
20260527100010920,0,Small,Red Violet
20260527100010919,0,Small,Red Violet
20260527100010918,6,Big,Red
20260527100010917,6,Big,Red
20260527100010916,4,Small,Red
20260527100010915,1,Small,Green
20260527100010914,3,Small,Green
20260527100010913,5,Big,Green Violet
20260527100010912,8,Big,Red
20260527100010911,2,Small,Red
20260527100010910,3,Small,Green
20260527100010909,5,Big,Green Violet
20260527100010908,2,Small,Red
20260527100010907,6,Big,Red
20260527100010906,5,Big,Green Violet
20260527100010905,2,Small,Red
20260527100010904,8,Big,Red
20260527100010903,1,Small,Green
20260527100010902,7,Big,Green
20260527100010901,6,Big,Red
20260527100010900,5,Big,Green Violet
20260527100010899,5,Big,Green Violet
20260527100010898,8,Big,Red
20260527100010897,7,Big,Green
20260527100010896,6,Big,Red
20260527100010895,1,Small,Green
20260527100010894,2,Small,Red
20260527100010893,0,Small,Red Violet
20260527100010892,8,Big,Red
20260527100010891,4,Small,Red
20260527100010890,0,Small,Red Violet
20260527100010889,0,Small,Red Violet
20260527100010888,0,Small,Red Violet
20260527100010887,3,Small,Green
20260527100010886,1,Small,Green
20260527100010885,0,Small,Red Violet
20260527100010884,6,Big,Red
20260527100010883,2,Small,Red
20260527100010882,7,Big,Green
20260527100010881,3,Small,Green
20260527100010880,4,Small,Red
20260527100010879,1,Small,Green
20260527100010878,0,Small,Red Violet
20260527100010877,6,Big,Red
20260527100010876,4,Small,Red
20260527100010875,9,Big,Green
20260527100010874,4,Small,Red
20260527100010873,7,Big,Green
20260527100010872,2,Small,Red
20260527100010871,2,Small,Red
20260527100010870,5,Big,Green Violet
20260527100010869,6,Big,Red
20260527100010868,5,Big,Green Violet
20260527100010867,5,Big,Green Violet
20260527100010866,3,Small,Green
20260527100010865,2,Small,Red
20260527100010864,9,Big,Green
20260527100010863,5,Big,Green Violet
20260527100010862,5,Big,Green Violet
20260527100010861,5,Big,Green Violet
20260527100010860,3,Small,Green
20260527100010859,3,Small,Green
20260527100010858,6,Big,Red
20260527100010857,3,Small,Green
20260527100010856,7,Big,Green
20260527100010855,6,Big,Red
20260527100010854,8,Big,Red
20260527100010853,7,Big,Green
20260527100010852,0,Small,Red Violet
20260527100010851,4,Small,Red
20260527100010850,7,Big,Green
20260527100010849,4,Small,Red
20260527100010848,6,Big,Red
20260527100010847,7,Big,Green
